,Serial_numb,CATEGORY,SKILLS
0,1,React Developer,"Html5, Css3, JavaScript, Responsive Designs,Bootstrap, ReactJS, JSON"
1,2,React Developer,"C, Reactjs, JavaScript, SQL Server. MS Office. HTML, CSS. ,Windows, Ubuntu"
2,3,React Developer,"ReactJs, Redux. Bootstrap. Photoshop, Visual Studio.  HTML 4, CSS3, Sass. Windows, Mac, Ubuntu. JavaScript, jQuery. Agile"
3,4,React Developer,"Html, css3, java, Python ,Html 4,  ReactJs ,Json, Flask, Recat"
4,5,React Developer,"MERN stack, Framework7, Eclipse, Visual Studio Code,SQL, Mongo Database, Windows, Unix"
5,6,React Developer,"C, Reactjs, JavaScript, SQL Server. MS Office. HTML, CSS. ,Windows, Ubuntu"
6,7,React Developer,"C++, Vscode, JavaScript, *, HTML 4, HTML, CSS3, $, SQL"
7,8,React Developer,"#, VS Code. Html5, CSS3, Java script, JQuery, Type Script, @#,ReactJS,BootStrap, Angular 10. Windows 7,8,10 ,MS Office, Redux, Saga, Thunk, Node JS, MongoDB, Express JS, Material UI,"
8,9,React Developer,"WHTML, JavaScript, Bootstrap.ReactJS ,Hooks and Redux(Knowledge). CSS3 and SASS (Knowledge)."
9,10,React Developer,"@@, C, Reactjs, JavaScript, SQL Server. MS Office. HTML,#$, CSS. ,Windows, Ubuntu"
10,11,React Developer,"ReactJS, Bootstrap, HTML 5, CSS, React Hooks, and Redux, #"
11,12,React Developer,"MERN stack, Framework7, Eclipse, Visual Studio Code,SQL, Mongo Database, Windows, Unix"
12,13,React Developer,"HOOKS AND Reduce, SAAS, CSS3, BOOTSTRAP, CSS4, HTML3 ,PYTHON, C,JAVA"
13,14,React Developer,"Html5, Css3, JavaScript, Responsive Designs,Bootstrap, ReactJS, JSON"
14,15,React Developer," SQL, T-SQL,SQL Server 2016/2012/2008  ,SQL Server Integration Services (SSIS) ,SQL Server Reporting Tools (SSRS)"
15,16,SQL DEVELOPER,"Languages: SQL, SAS, R, Python ,MS SQL Server, T-SQL, AWS RDS (Athena), MariaDB (Version of MySQL),SQL Server Management Studio (SSMS), RazorSQL, HeidiSQL, RStudio ,R, Tableau, Excel"
16,17,SQL DEVELOPER,"Sybase ASE 15.7 Server,MS-SQL,MS-SQL,Oracle,Devops,PL/SQL-Oracle,Pentaho data integration (ETL) ,Windows7/xp,Linux,CentOS,Ubuntu,VMware Workstation,Putty,DB Solo,Dell Sonic Global VPN Client,Spoon,WinSCP,Pig,Hive,Sqoop,Hbase,Impla,Scala"
